idStudent,fullName,gender,email
180001,Đinh Thu Ngân,0,180001@sis.hust.edu.vn
180002,Phùng Vân Thanh,0,180002@sis.hust.edu.vn
180003,Lã Bảo Khánh,1,180003@sis.hust.edu.vn
180004,Ngô Minh Mẫn,1,180004@sis.hust.edu.vn
180005,Ngô Hồng Châu,0,180005@sis.hust.edu.vn
180006,Hoàng Khắc Trọng,1,180006@sis.hust.edu.vn
180007,Ngô Ðức Bình,1,180007@sis.hust.edu.vn
180008,Hồ Lương Tài,1,180008@sis.hust.edu.vn
180009,Hoàng Tấn Thành,1,180009@sis.hust.edu.vn
180010,Võ Ðông Nhi,0,180010@sis.hust.edu.vn
180011,Tô Thái Thanh,0,180011@sis.hust.edu.vn
180012,Trần Thái Thảo,0,180012@sis.hust.edu.vn
180013,Phùng Hoàng Khang,1,180013@sis.hust.edu.vn
180014,Lã Hữu Long,1,180014@sis.hust.edu.vn
180015,Nguyễn Anh Vũ,0,180015@sis.hust.edu.vn
180016,Phan Kim Thy,0,180016@sis.hust.edu.vn
180017,Đặng Hạ Tiên,0,180017@sis.hust.edu.vn
180018,Hoàng Khắc Triệu,1,180018@sis.hust.edu.vn
180019,Lê Thụy Ðào,0,180019@sis.hust.edu.vn
180020,Lê Tuấn Tú,1,180020@sis.hust.edu.vn
180021,Ngô Thiện Mỹ,0,180021@sis.hust.edu.vn
180022,Đỗ Cao Nghiệp,1,180022@sis.hust.edu.vn
180023,Đặng Tâm Thiện,1,180023@sis.hust.edu.vn
180024,Bùi Bằng Sơn,1,180024@sis.hust.edu.vn
180025,Võ Sao Băng,0,180025@sis.hust.edu.vn
180026,Đặng Minh Hiên,1,180026@sis.hust.edu.vn
180027,Hoàng Tường Lâm,1,180027@sis.hust.edu.vn
180028,Võ Bảo Châu,0,180028@sis.hust.edu.vn
180029,Lã Như Thảo,0,180029@sis.hust.edu.vn
180030,Dương Hùng Dũng,1,180030@sis.hust.edu.vn
180031,Phan Thư Lâm,0,180031@sis.hust.edu.vn
180032,Võ Chính Thuận,1,180032@sis.hust.edu.vn
180033,Ngô Ðắc Lộ,1,180033@sis.hust.edu.vn
180034,Võ Hải Châu,0,180034@sis.hust.edu.vn
180035,Đỗ Trà My,0,180035@sis.hust.edu.vn
180036,Lê Hoàng Xuân,1,180036@sis.hust.edu.vn
180037,Vũ Uy Phong,1,180037@sis.hust.edu.vn
180038,Ngô Yến My,0,180038@sis.hust.edu.vn
180039,Vũ Ðịnh Lực,1,180039@sis.hust.edu.vn
180040,Nguyễn Uyên Thơ,0,180040@sis.hust.edu.vn
180041,Lý Thảo Linh,0,180041@sis.hust.edu.vn
180042,Ngô Quốc Hiền,1,180042@sis.hust.edu.vn
180043,Tô Chí Sơn,1,180043@sis.hust.edu.vn
180044,Hoàng Trúc Quỳnh,0,180044@sis.hust.edu.vn
180045,Đỗ Phú Hưng,1,180045@sis.hust.edu.vn
180046,Lã Uy Phong,1,180046@sis.hust.edu.vn
180047,Phùng Minh Kiệt,1,180047@sis.hust.edu.vn
180048,Đặng Xuân Nhi,0,180048@sis.hust.edu.vn
180049,Nguyễn Sơn Dương,1,180049@sis.hust.edu.vn
180050,Vũ Gia Bảo,1,180050@sis.hust.edu.vn
180051,Lã Hiếu Phong,1,180051@sis.hust.edu.vn
180052,Vũ Duy Hiếu,1,180052@sis.hust.edu.vn
180053,Đinh Ðức Long,1,180053@sis.hust.edu.vn
180054,Đinh Kim Ðan,1,180054@sis.hust.edu.vn
180055,Dương Nguyên Nhân,1,180055@sis.hust.edu.vn
180056,Hồ Kỳ Duyên,0,180056@sis.hust.edu.vn
180057,Hoàng Kim Thư,0,180057@sis.hust.edu.vn
180058,Tô Việt Chính,1,180058@sis.hust.edu.vn
180059,Ngô Thanh Kiên,1,180059@sis.hust.edu.vn
180060,Dương Phúc Hòa,1,180060@sis.hust.edu.vn
180061,Đỗ Ái Nhân,0,180061@sis.hust.edu.vn
180062,Hồ Bảo Duy,1,180062@sis.hust.edu.vn
180063,Ngô Việt Hải,1,180063@sis.hust.edu.vn
180064,Lý Quang Tài,1,180064@sis.hust.edu.vn
180065,Bùi Minh Vương,1,180065@sis.hust.edu.vn
180066,Lê Anh Thảo,0,180066@sis.hust.edu.vn
180067,Trần Hiền Minh,1,180067@sis.hust.edu.vn
180068,Phùng Ðan Quỳnh,0,180068@sis.hust.edu.vn
180069,Tô Kim Khuyên,0,180069@sis.hust.edu.vn
180070,Võ Ái Khanh,0,180070@sis.hust.edu.vn
180071,Lê Hồng Hà,0,180071@sis.hust.edu.vn
180072,Đinh Anh Quốc,1,180072@sis.hust.edu.vn
180073,Phan Tuấn Châu,1,180073@sis.hust.edu.vn
180074,Hoàng Minh Triết,1,180074@sis.hust.edu.vn
180075,Đỗ Vĩnh Thọ,1,180075@sis.hust.edu.vn
180076,Vũ Việt Sơn,1,180076@sis.hust.edu.vn
180077,Tô Xuân Khoa,1,180077@sis.hust.edu.vn
180078,Vũ Hồng Diễm,0,180078@sis.hust.edu.vn
180079,Võ Linh Duyên,0,180079@sis.hust.edu.vn
180080,Phùng Ðức Giang,1,180080@sis.hust.edu.vn
180081,Nguyễn Xuân Hiếu,1,180081@sis.hust.edu.vn
180082,Phan Quỳnh Tiên,0,180082@sis.hust.edu.vn
180083,Lê Hoàn Vũ,1,180083@sis.hust.edu.vn
180084,Phan Thái Sơn,1,180084@sis.hust.edu.vn
180085,Nguyễn Khánh Minh,1,180085@sis.hust.edu.vn
180086,Phan Hướng Dương,1,180086@sis.hust.edu.vn
180087,Lã Thụy Vũ,1,180087@sis.hust.edu.vn
180088,Phạm Mạnh Thiện,1,180088@sis.hust.edu.vn
180089,Đặng Hạnh My,0,180089@sis.hust.edu.vn
180090,Lê Kiều Minh,0,180090@sis.hust.edu.vn
180091,Võ Thanh Phương,0,180091@sis.hust.edu.vn
180092,Nguyễn Uyển Nhi,0,180092@sis.hust.edu.vn
180093,Dương Tuyết Tâm,0,180093@sis.hust.edu.vn
180094,Dương Mộng Lan,0,180094@sis.hust.edu.vn
180095,Hoàng Bích Hậu,0,180095@sis.hust.edu.vn
180096,Bùi Ðông Dương,1,180096@sis.hust.edu.vn
180097,Hoàng Hoàng Phát,1,180097@sis.hust.edu.vn
