idTeacher,fullName,gender,email
10001,Đinh Thu Ngân,0,10001teacher@uet.vnu.edu
10002,Phùng Vân Thanh,0,10002teacher@uet.vnu.edu
10003,Lã Bảo Khánh,1,10003teacher@uet.vnu.edu
10004,Ngô Minh Mẫn,1,10004teacher@uet.vnu.edu
10005,Ngô Hồng Châu,0,10005teacher@uet.vnu.edu
10006,Hoàng Khắc Trọng,1,10006teacher@uet.vnu.edu
10007,Ngô Ðức Bình,1,10007teacher@uet.vnu.edu
10008,Hồ Lương Tài,1,10008teacher@uet.vnu.edu
10009,Hoàng Tấn Thành,1,10009teacher@uet.vnu.edu
10010,Võ Ðông Nhi,0,10010teacher@uet.vnu.edu
10011,Tô Thái Thanh,0,10011teacher@uet.vnu.edu
10012,Trần Thái Thảo,0,10012teacher@uet.vnu.edu
10013,Phùng Hoàng Khang,1,10013teacher@uet.vnu.edu
10014,Lã Hữu Long,1,10014teacher@uet.vnu.edu
10015,Nguyễn Anh Vũ,0,10015teacher@uet.vnu.edu
10016,Phan Kim Thy,0,10016teacher@uet.vnu.edu
10017,Đặng Hạ Tiên,0,10017teacher@uet.vnu.edu
10018,Hoàng Khắc Triệu,1,10018teacher@uet.vnu.edu
10019,Lê Thụy Ðào,0,10019teacher@uet.vnu.edu
10020,Lê Tuấn Tú,1,10020teacher@uet.vnu.edu
10021,Ngô Thiện Mỹ,0,10021teacher@uet.vnu.edu
10022,Đỗ Cao Nghiệp,1,10022teacher@uet.vnu.edu
10023,Đặng Tâm Thiện,1,10023teacher@uet.vnu.edu
10024,Bùi Bằng Sơn,1,10024teacher@uet.vnu.edu
10025,Võ Sao Băng,0,10025teacher@uet.vnu.edu
10026,Đặng Minh Hiên,1,10026teacher@uet.vnu.edu
10027,Hoàng Tường Lâm,1,10027teacher@uet.vnu.edu
10028,Võ Bảo Châu,0,10028teacher@uet.vnu.edu
10029,Lã Như Thảo,0,10029teacher@uet.vnu.edu
10030,Dương Hùng Dũng,1,10030teacher@uet.vnu.edu
10031,Phan Thư Lâm,0,10031teacher@uet.vnu.edu
10032,Võ Chính Thuận,1,10032teacher@uet.vnu.edu
10033,Ngô Ðắc Lộ,1,10033teacher@uet.vnu.edu
10034,Võ Hải Châu,0,10034teacher@uet.vnu.edu
10035,Đỗ Trà My,0,10035teacher@uet.vnu.edu
10036,Lê Hoàng Xuân,1,10036teacher@uet.vnu.edu
10037,Vũ Uy Phong,1,10037teacher@uet.vnu.edu
10038,Ngô Yến My,0,10038teacher@uet.vnu.edu
10039,Vũ Ðịnh Lực,1,10039teacher@uet.vnu.edu
10040,Nguyễn Uyên Thơ,0,10040teacher@uet.vnu.edu
10041,Lý Thảo Linh,0,10041teacher@uet.vnu.edu
10042,Ngô Quốc Hiền,1,10042teacher@uet.vnu.edu
10043,Tô Chí Sơn,1,10043teacher@uet.vnu.edu
10044,Hoàng Trúc Quỳnh,0,10044teacher@uet.vnu.edu
10045,Đỗ Phú Hưng,1,10045teacher@uet.vnu.edu
10046,Lã Uy Phong,1,10046teacher@uet.vnu.edu
10047,Phùng Minh Kiệt,1,10047teacher@uet.vnu.edu
10048,Đặng Xuân Nhi,0,10048teacher@uet.vnu.edu
10049,Nguyễn Sơn Dương,1,10049teacher@uet.vnu.edu
10050,Vũ Gia Bảo,1,10050teacher@uet.vnu.edu
10051,Lã Hiếu Phong,1,10051teacher@uet.vnu.edu
10052,Vũ Duy Hiếu,1,10052teacher@uet.vnu.edu
10053,Đinh Ðức Long,1,10053teacher@uet.vnu.edu
10054,Đinh Kim Ðan,1,10054teacher@uet.vnu.edu
10055,Dương Nguyên Nhân,1,10055teacher@uet.vnu.edu
10056,Hồ Kỳ Duyên,0,10056teacher@uet.vnu.edu
10057,Hoàng Kim Thư,0,10057teacher@uet.vnu.edu
10058,Tô Việt Chính,1,10058teacher@uet.vnu.edu
10059,Ngô Thanh Kiên,1,10059teacher@uet.vnu.edu
10060,Dương Phúc Hòa,1,10060teacher@uet.vnu.edu
10061,Đỗ Ái Nhân,0,10061teacher@uet.vnu.edu
10062,Hồ Bảo Duy,1,10062teacher@uet.vnu.edu
10063,Ngô Việt Hải,1,10063teacher@uet.vnu.edu
10064,Lý Quang Tài,1,10064teacher@uet.vnu.edu
10065,Bùi Minh Vương,1,10065teacher@uet.vnu.edu
10066,Lê Anh Thảo,0,10066teacher@uet.vnu.edu
10067,Trần Hiền Minh,1,10067teacher@uet.vnu.edu
